LAT,LONG
"18° 24' 50,319"" S","66° 54' 51,471"" W"
"17° 35' 15,629"" S","67° 17' 55,171"" W"
"17° 48' 21,950"" S","67° 20' 52,431"" W"
"17° 31' 42,411"" S","67° 6' 20,916"" W"
"18° 16' 37,722"" S","69° 0' 8,863"" W"
"19° 12' 13,227"" S","68° 33' 16,399"" W"
"18° 54' 52,024"" S","68° 12' 31,326"" W"
"18° 26' 17,464"" S","66° 48' 22,751"" W"
"18° 52' 6,395"" S","66° 27' 48,514"" W"
"18° 23' 10,519"" S","66° 53' 15,314"" W"
"18° 53' 8,753"" S","66° 45' 47,373"" W"
"18° 16' 44,107"" S","67° 7' 25,734"" W"
"17° 33' 4,560"" S","67° 18' 21,747"" W"
"18° 24' 10,578"" S","67° 11' 57,210"" W"
"18° 21' 23,023"" S","67° 6' 55,364"" W"
"18° 23' 7,032"" S","67° 7' 23,029"" W"
"18° 23' 55,421"" S","67° 7' 43,311"" W"
"18° 56' 10,144"" S","67° 38' 5,411"" W"
"18° 26' 52,224"" S","66° 54' 48,867"" W"
"18° 19' 0,931"" S","67° 7' 54,200"" W"
"18° 21' 45,363"" S","67° 4' 49,863"" W"
"18° 18' 23,358"" S","67° 12' 29,306"" W"
"18° 21' 56,494"" S","67° 6' 24,527"" W"
"18° 12' 16,631"" S","67° 9' 37,417"" W"
"18° 12' 58,087"" S","67° 7' 0,522"" W"
"18° 11' 1,140"" S","67° 7' 51,943"" W"
"18° 12' 2,866"" S","67° 5' 45,194"" W"
"18° 7' 59,090"" S","68° 7' 27,590"" W"
"18° 32' 29,180"" S","66° 56' 59,130"" W"
"18° 22' 42,875"" S","67° 11' 53,735"" W"
"18° 10' 9,761"" S","67° 12' 5,069"" W"
"18° 12' 29,692"" S","67° 12' 6,315"" W"
"18° 15' 42,456"" S","67° 5' 44,062"" W"
"18° 22' 42,748"" S","67° 4' 47,784"" W"
"18° 12' 48,176"" S","67° 11' 26,055"" W"
"18° 13' 34,922"" S","67° 11' 37,276"" W"
"18° 4' 42,392"" S","67° 14' 23,639"" W"
"18° 12' 15,873"" S","67° 15' 32,416"" W"
"18° 5' 7,241"" S","67° 11' 25,001"" W"
"18° 5' 6,505"" S","67° 16' 3,339"" W"
"18° 8' 45,918"" S","67° 12' 56,231"" W"
"18° 1' 2,866"" S","67° 8' 21,413"" W"
"18° 0' 7,607"" S","67° 16' 46,872"" W"
"18° 7' 53,852"" S","67° 16' 20,797"" W"
"18° 0' 36,568"" S","67° 11' 34,170"" W"
"18° 2' 41,914"" S","67° 18' 22,039"" W"
"18° 1' 9,705"" S","67° 18' 31,027"" W"
"18° 5' 51,046"" S","67° 16' 18,306"" W"
"18° 9' 36,413"" S","67° 15' 8,847"" W"
"18° 9' 20,135"" S","67° 11' 3,140"" W"
"18° 6' 46,123"" S","67° 14' 11,526"" W"
"18° 6' 43,197"" S","67° 16' 41,320"" W"
"18° 7' 13,686"" S","67° 13' 14,186"" W"
"17° 34' 10,299"" S","67° 20' 0,636"" W"
"17° 30' 4,704"" S","67° 20' 10,505"" W"
"18° 35' 51,010"" S","66° 39' 0,394"" W"
"18° 50' 17,030"" S","66° 44' 20,036"" W"
"18° 16' 43,020"" S","67° 10' 6,852"" W"
"18° 17' 44,363"" S","67° 11' 52,468"" W"
"18° 8' 57,375"" S","66° 48' 2,974"" W"
"18° 16' 51,869"" S","67° 9' 43,246"" W"
"18° 19' 52,019"" S","67° 10' 47,030"" W"
"18° 17' 29,296"" S","67° 10' 43,473"" W"
"18° 15' 54,964"" S","67° 11' 50,800"" W"
"18° 15' 39,513"" S","67° 5' 35,159"" W"
"18° 15' 58,839"" S","67° 9' 4,691"" W"
"18° 18' 2,264"" S","67° 5' 55,749"" W"
"18° 15' 2,361"" S","67° 4' 47,035"" W"
"18° 18' 15,762"" S","67° 6' 1,033"" W"
"18° 16' 50,730"" S","67° 4' 25,071"" W"
"18° 18' 45,644"" S","67° 6' 7,215"" W"
"17° 55' 40,798"" S","66° 53' 58,281"" W"
"17° 57' 45,650"" S","67° 0' 0,077"" W"
"17° 54' 30,936"" S","66° 55' 52,159"" W"
"17° 53' 1,799"" S","66° 57' 44,042"" W"
"17° 53' 50,723"" S","66° 57' 3,440"" W"
"17° 55' 56,119"" S","66° 55' 56,905"" W"
"17° 55' 35,236"" S","66° 57' 41,238"" W"
"17° 56' 54,874"" S","66° 55' 38,234"" W"
"18° 1' 14,253"" S","66° 52' 5,164"" W"
"17° 58' 21,652"" S","66° 54' 59,752"" W"
"17° 54' 50,339"" S","66° 55' 48,362"" W"
"17° 58' 15,486"" S","66° 48' 17,688"" W"
"19° 11' 16,346"" S","66° 10' 51,156"" W"
"17° 49' 22,830"" S","66° 59' 40,268"" W"
"17° 56' 10,202"" S","66° 51' 46,434"" W"
"17° 49' 6,084"" S","66° 59' 56,915"" W"
"17° 51' 32,641"" S","67° 3' 18,359"" W"
"17° 49' 34,343"" S","66° 57' 21,222"" W"
"17° 59' 41,372"" S","66° 54' 22,224"" W"
"18° 1' 8,798"" S","66° 50' 28,167"" W"
"19° 3' 1,175"" S","68° 46' 54,671"" W"
"17° 49' 31,407"" S","67° 2' 53,000"" W"
"17° 51' 16,509"" S","67° 3' 43,265"" W"
"17° 50' 3,837"" S","66° 55' 7,439"" W"
"17° 26' 4,151"" S","67° 16' 5,910"" W"
"18° 49' 35,481"" S","66° 47' 56,161"" W"
"17° 56' 9,501"" S","66° 57' 54,390"" W"
"17° 52' 48,045"" S","66° 57' 35,326"" W"
"17° 48' 42,422"" S","66° 50' 45,594"" W"
"18° 48' 44,639"" S","66° 45' 4,939"" W"
"17° 50' 18,748"" S","66° 49' 4,436"" W"
"17° 51' 7,777"" S","66° 47' 30,592"" W"
"17° 51' 15,328"" S","66° 50' 34,234"" W"
"18° 6' 20,550"" S","68° 58' 11,478"" W"
"18° 25' 2,619"" S","66° 53' 42,061"" W"
"17° 35' 5,872"" S","67° 17' 20,413"" W"
"18° 53' 14,947"" S","66° 31' 41,702"" W"
"18° 48' 29,816"" S","66° 46' 49,050"" W"
"18° 19' 52,704"" S","66° 56' 25,274"" W"
"18° 49' 1,813"" S","66° 27' 11,006"" W"
"19° 1' 11,063"" S","67° 14' 30,383"" W"
"19° 8' 47,154"" S","66° 44' 18,650"" W"
"18° 40' 23,075"" S","66° 41' 4,002"" W"
"17° 50' 46,209"" S","66° 45' 2,394"" W"
"17° 52' 36,869"" S","66° 42' 38,695"" W"
"17° 53' 19,225"" S","66° 52' 0,105"" W"
"17° 46' 39,795"" S","66° 53' 9,707"" W"
"17° 49' 48,160"" S","66° 44' 45,655"" W"
"17° 54' 4,576"" S","66° 45' 19,362"" W"
"17° 53' 59,190"" S","66° 51' 11,977"" W"
"17° 51' 33,210"" S","66° 53' 31,929"" W"
"17° 52' 55,859"" S","66° 45' 10,141"" W"
"17° 48' 52,759"" S","66° 45' 33,959"" W"
"17° 50' 35,747"" S","66° 45' 11,786"" W"
"17° 47' 47,635"" S","66° 47' 27,164"" W"
"17° 48' 29,774"" S","66° 47' 17,500"" W"
"17° 53' 9,191"" S","66° 48' 42,621"" W"
"17° 47' 29,217"" S","66° 51' 40,330"" W"
"17° 53' 37,487"" S","66° 47' 26,751"" W"
"17° 49' 59,617"" S","66° 52' 35,137"" W"
"17° 59' 20,230"" S","66° 58' 24,385"" W"
"18° 2' 20,589"" S","67° 0' 58,804"" W"
"18° 0' 31,452"" S","66° 59' 48,757"" W"
"18° 1' 36,197"" S","67° 1' 26,747"" W"
"17° 31' 41,887"" S","67° 15' 15,530"" W"
"19° 2' 36,055"" S","66° 11' 8,430"" W"
"18° 50' 57,580"" S","66° 45' 55,515"" W"
"19° 11' 4,741"" S","66° 7' 18,011"" W"
"18° 26' 0,785"" S","66° 51' 12,126"" W"
"18° 3' 48,469"" S","66° 59' 36,879"" W"
"17° 45' 50,918"" S","67° 1' 45,132"" W"
"17° 48' 45,638"" S","67° 4' 43,592"" W"
"17° 44' 27,990"" S","66° 58' 56,063"" W"
"17° 52' 9,513"" S","67° 5' 49,505"" W"
"17° 50' 35,773"" S","67° 6' 5,405"" W"
"17° 44' 50,535"" S","66° 56' 52,760"" W"
"17° 43' 42,124"" S","66° 57' 36,764"" W"
"18° 42' 25,671"" S","66° 47' 16,470"" W"
"17° 42' 40,474"" S","66° 59' 58,805"" W"
"17° 46' 8,734"" S","67° 2' 26,926"" W"
"17° 45' 48,276"" S","66° 55' 11,229"" W"
"17° 46' 20,455"" S","66° 57' 11,030"" W"
