Latitude,Longitude
N 40° 4' 37'',E 116° 20' 7''
N 40° 10' 29'',E 116° 8' 19''
N 40° 24' 40'',E 116° 35' 43''
N 40° 27' 45'',E 116° 5' 28''
N 40° 29' 9'',E 116° 2' 36''
N 40° 32' 25'',E 116° 48' 47''
N 39° 58' 27'',E 116° 2' 54''
N 39° 45' 32'',E 116° 49' 26''
N 39° 50' 59'',E 116° 22' 7''
N 39° 40' 22'',E 115° 35' 20''
N 39° 33' 22'',E 116° 26' 51''
N 39° 35' 47'',E 116° 1' 51''
N 39° 59' 47'',E 116° 13' 1''
N 39° 51' 38'',E 116° 41' 58''
N 39° 34' 14'',E 115° 42' 27''
N 39° 31' 10'',E 116° 18' 55''
N 39° 42' 31'',E 116° 46' 35''
N 39° 32' 26'',E 115° 45' 33''
N 39° 52' 19'',E 116° 1' 41''
N 39° 53' 42'',E 115° 33' 17''
N 39° 56' 1'',E 116° 40' 29''
N 39° 53' 47'',E 116° 33' 59''
N 39° 53' 18'',E 116° 6' 0''
N 39° 38' 34'',E 115° 58' 43''
N 39° 54' 40'',E 116° 11' 15''
N 39° 27' 7'',E 116° 24' 29''
N 39° 38' 32'',E 115° 35' 8''
N 39° 50' 34'',E 116° 28' 58''
N 39° 57' 53'',E 116° 5' 55''
N 39° 48' 49'',E 116° 52' 38''
N 39° 47' 26'',E 116° 20' 40''
N 39° 36' 24'',E 116° 19' 1''
N 39° 55' 18'',E 115° 38' 52''
N 39° 43' 27'',E 115° 44' 10''
N 39° 59' 35'',E 116° 12' 4''
N 39° 56' 6'',E 116° 16' 18''
N 39° 37' 46'',E 116° 24' 59''
N 39° 59' 35'',E 116° 28' 22''
N 39° 38' 23'',E 115° 54' 53''
N 39° 46' 18'',E 116° 1' 37''
N 39° 44' 43'',E 116° 22' 38''
N 39° 38' 34'',E 116° 3' 35''
N 39° 57' 45'',E 116° 33' 9''
N 39° 36' 23'',E 116° 16' 18''
N 39° 51' 6'',E 116° 7' 2''
N 39° 50' 8'',E 116° 23' 57''
N 39° 45' 52'',E 116° 22' 34''
N 39° 53' 9'',E 115° 46' 42''
