featureNam
Addis Ababa
Lege Tafo
Adi Abun
Adwa
Ambalage
Inda Baguna
Atsbi Inda Silase
May Mekdan
Bizet
Senkata
Adi Da-iro
Axum
Mahbere Tsige
Inda Tekle Haymanot
Aberqele
Yechilay
Densha
Dekaba
May Tsamri
Adi Remets
Idaga Arbi
Ayisha
Asbuli 1
Aydora
Adigala
Denbel
Biye Anod
Alijiir
Lefe Isa
Jijiga
Harer
Obele
Birkot
Degeh Medo
Benado
Geledid
Kebri Dehar
Kere 1
Debe Weyin
Chereti
Afker
Lema Shilnich
Gudis
Koye 3
Teylut
Jikawo
Bonga 1
Gambela
Poko
Abobo
Giara
Dodi 12
Peso
Tepi 1
Gecha 1
Mankush
Abu Mendi
Bambadi
Guba
Zela
Mambuk
Pawe
Mandura
Dibate
Zigin
Galesa
Korka
Bulen
Debre Zeyit Gojjam
Debre Zeyit 2
Daleti 1
Gizen
Hor Kelifa
Menge
Komosh
Kurmuk
Bambesi
Durbete
Dur Bete
Albuko
Gelemo Ager
Amistiya
Dinqil Ber
Dengel Ber
Kidane Mihiret N Gonder
Alet
Amba Not
Mariye
Segora
Wichale
Yemistina
Chacha
Indod
Segele
Nebu
Ombol
Gimja Bet
Azena
Alem Gebeya
Aliyu Amba
Ankober
Gur
Key Gedel
Majete
Hamus Gebeya 03
Asagirt
Adebabay
Ginager
Dima 03
Lumame
Wegel
Meshenti
Tis Abay
Yinesa
Zege
Kidamaja
Injbara
Koso Ber
Kesa
Bete Nigus
Den
Tibe Goref
Yeduga
Yejube
Yeweynit
Bati
Inkese
Meteh Bila
Ama
Bichenkeny
Sidisto
Sirtu Ager
Dilibza
Dil Yibza
Digo Tsiyon
Meskele Kiristos
Tsige Tsiyon
Telezam
Ayna
Bure
Kuch
Galibe
Masha Kuta
Zalma
Mekoy
Kemise
Milamile
Weledi
Chandiba
Aykel
Cherba
Felfel 1
Seraba
Zufan
Dabat
Hagerit
Kenta
Wekin
Dangla
Shola
Gich
Dib Bahir
Sankaber
Debark 1
Belesa
Bosa
Webrje
Angacha 03
Kuyi
Eliyas
Genet 1
Amba
Kobo 1
Mekane Selam
Werke Amba
Wobo
Tame
Feres Bet
Amde Werk
Golgola
Korambe
Yekoza
Dejen
Kok Wiha
Mehal Amba
Zebich
Firida Mareja
Lomi Wiha
Shekol
Wegel Tena
Anjeni
Inewend
Chelekuma
Dembecha
Zara
Kola Diba
Chwahit Mender
Robit 1
Chwahit
Gorgora
Hamusit Mender
Wanzaye
Arb Gebeya 1
Anbesame
Arb Gebeya S Gondor 1
Atsey Weyne
Gina
Goha
Dese
Webeden
Iste
Kechin Meda
Mekane Iyesus
Guhala
Hatu Amba
Zena Tsion
Gwaliya
Ibnat
Karakore
Jewha
Ataye
Jebuha
Debre Werk
Arara 03
Dincha
Felege Birhan
Mertule Maryam
Inese
Yigma
Yetmen
Bichena
Kecher
Adis Kidane
Fogota
Gasay
Debre Tabor
Woreta
Amed Ber
Amora Gedel
Hagere Selam 03
Hod Gebeya
Wereta
Asketema
Dinfacha
Gidm
Mehal Meda
Kulmesk
Debre Tsehay
Kul Mesk
Muja
Ayzosh Amora
Rabel
Achewa Bado
Gunde Weyn
Meksenyit
Gonder
Azezo
Degoma
Gazara
Koga
Maksenyit
Tadda
Washera
Achigi
Baguna
Tilili
Kilaj
Chagni
Dibati
Gwangwa
Metekel
Doro Gibir
Hara Gebeya
Kulf Amba
Weldiya
Debre Markos
Chemoga
Girar
Guzanen
Sirinka
Kokono
Mersa
Wilawila
Wirgesa
Koremash
Shola Gebeya
Meda Midir
Keraniya
Sede 1
Adasha
Mota
Muger
Genet 2
Mankusa
Finote Selam
Jiga
Dogolo
Bita
Borena
Degolo
Irshama
Meranga
Shil Afaf
Chennek
Deresge
Mekane Birhan
Senbete
Efeson
Kelkelti
Kombolcha 1
Harbu
Degan
Ancharo
Girar Amba
Kembolcha 1
Ligwama
Hibino
Dire 03
Feres Bet Welo
Kelela
Shafi
Shewa Robit
Kwatiny
Mezezo
Robit 2
Tedo Ber
Aba ali
Amora Genda
Kuta Ber
Bete Anbesa
Iriya Mesk
Lalibela
Tikil Dingay
Nefas Mewcha
Tig Ber
Zage
Akesta
Genete
Koke Ager
Terad
Kurkura 03
Derek Amba
Adis Zemen
Yifag
Wetet Abay
Debre Tsehay Gojjam
Kuskust
Merawi
Ajibar
Bazura
Masha Wollo
Wegesa
Yeberet
Goshit
Bir Afaf
Debre Zebit 1
Filakit
Mama Midir
Wegere
Weyin Amba
Molale
Alem Ketema
Arbu
Fetra
Mirgazh
Wehini
Genda Wuha
Komar
Maganan
Metema
Shelel
Yewla
Amanuel
Galat
Minch
Mida
Meranya
Gende Bune
Rema
Arerti
Balchi
Burkike
Guroch
Melka Jilo
Minjar
Jegol
Ejere E Shewa
Abderafi
Sela Dingay
Sasit
Tarmaber
Imbwacho Gedel
Tikur Chika
Enewari
Jihur
Sefed Amba
Mahbere Silase
Omedila
Amba Mariyam Gonder
Matebiya
Seyfe Arid
Tewodros Ketema
Dabi
Gebez Maryam
Menkorar
Sayint
Agut
Gish Abay
Kunzila
Yismala
Asinwara
Kilado
Senyin
Rebu Gebeya
Yebokla
Feko
Geda Iyasu
Kosheshila
Mesobit
Yeid Wuha
Wegeda
Sali
Girarya
Jedo
Deneba 1
Anchekorer
Kordida
Mogebere
Welyu
Angereb
Haria
Arb Gebeya 2
Arb Gebeya S Gondor 2
Delgi
Saroko
Armanaya
Debre Sina
Agaye
Ajibar
Amba Mariyam
Aroge
Dega Majeti
Mekdela
Nib Gedel
Segoda
Tenta
Wenz Amba
Berumieda
Boru
Hayk
Sulula
Jara Gedo
Arota
Sebeku
Debr
Amba Lamba
Bete Hor
Debir
Kon
Wegeti
Gelebe
Wegedi
Amba Giyorgis
Shindi
Gomer
Shihudad
Kabe
Kabi
Were Ilu
Arbaya
Bisitima
Agta
Gonj
Adet
Adi Tuolde Medhin
Fasiledes
Kedamit
Siska
Welezi
Adi Teweld Medhin
Kirkira
Zarima
Adi Arkay
Amsafesge
Chew Ber
Debark 2
Adi Salem
Abergele
Zuna
Adi Chimnu
Kidane Mihiret Wag Himira
Sekota
Kobo 2
Zobl
Robit 3
Ajo
Kulkwal
Jimate
Artuma
Fursi
Jemete
Bora
Kuye
Dalalian Maru
Gorble
Gobul
Serba
Didigsala
Serdo 1
Det Bahari
Dubti
Logiya
Tendaho
Erer Welo
Sifani
Dehabo
Afcase
Adaytu
Dhanan-Weere
Gewane
Hoyale
Burka 02
Melka Sede
Bilan
Garba-Cise
Melka Werer
Qalacle
Qurqure
Dulecha 1
Yehuala Shum
Awash
Dedecha
Asale
Dalol
Kulul
Maglala
Saba
Asgagala
Berahile
Bubaicoma
Shehet
Beda
Mile 1
Debel
Abiyu
Babu
Gunde Meskel
Salolona
Yilu
Kelo 1
Gosha Tsiyon
Tulu Miki
Aletis
Ejersa
Filkilik
Goha Tsion
Hose
Sekelo
Ejere 1
Ada-a
Ejere N Shewa
Gelila
Waro
Kombolcha 2
Gebete
Kembolcha Wellega
Degem
Dengego
Achane
Fincha-a
Fiche
Kere Dobi
Chulute
Ali Doro
Biriti
Gebre Guracha
Lomi
Bode
Shambu
Dikin
Dulecha 2
Gebere
Sewa
Tuturei
Muke Turi
Muke Ture
Weberi
Daleti 2
Dale N Shewa
Fitale
Gimbichu 04
Guranda N Shewa
Ejersa Goro
Minare
Kembolcha 2
Ketket
Kober
Tobi
Kelem 1
Melka Rafu
Kombolcha 3
Muger
Welenkombi
Bila 1
Bila E Wellega
Gute 1
Chelenko
Kulubi
Alem Maya
Aweday
Golo
Galo
Ihud Gebeya
Tsige Maryam
Boreda
Gota
Karamile
Adami
Nekemte
Borale
Funyan Bira
Gorey
Gursum
Kore E Hararghe
Kersa
Lange
Weter
Goja
Bicho
Kobo 3
Deder
Sichawo
Dawo Kebe
Abdi-gari
Abdirahman
Ali-Itobiya
Anaanle
Babile
Biiqa
Bula-dari
Ceel-baxay
Cobosha
Demdema
Dheenka
Elgobeya
Fiyanjabsa1
Fiyanjabsa2
Garriyaha
Geel-gabaye
Gololcha E Hararghe
Ibro-Muse
Ireysa
Malqaqa
Sanmareerle
Sanxaskule
Soorafaaf
Urga
Wayi-leys
Xasan-Baru
Bisidimo
Goben
Kurfa Chele
Bedeno
Biledo
Mumicha
Girawa 1
Chirecha
Gara Muleta
Gerb
Gugufi
Hufe
Lafto
Mayomaluq
Boye
Dikile
Harawacha
Harew
Jejeba
Loloha
Mucha Roba
Rago
Rare
Adida
Berbere
Delo
Ginir
Oda
Hako
Hadheba
Hunte
Weyge
Kuyera
Kuyera Dedeba
Shashemene
Banta
Kofele
Asasa
Chofira
Giyorgis
Begejo
Geyo
Guracha
Haydro
Hisu
Homa
Kero
Rareba
Robe
Sinana
Weyabeta
Majo Weldya
Jinfo
Kumbi 1
Arago
Burka
Gele
Gerbi Dimtu
Limey
Obo
Tirtira
Chelchel
Adabo
Adejijo
Alidi
Bakool
Baldha
Baradima
Burka Jere
Dibe
Hajo Afati
Hargeysa
Ija Kerensa
Tedecha Alem
Boku
Baku
Denkaka
Fedis
Abadir
Berehet
Debre Selam E Shewa
Metehara
Guji
Chelekko
Anchar Bedeyi
Cheleleka
Kelo 2
Mote
Jardega
Alibo
Harbu Deko
Sombo
Debeso 1
Debre Genet 04
Teji
Godino
Debre Zeyit 3
Godina
Arjo
Meko
Dire Godu
Koye 1
Ulawarta
Babo 1
Alga
Atnago
Koma
Seka Jima 1
Dino
Angada
Abomsa (Tinsae Birhan)
Teferi Birhan
Wama Adere
Nunu
Bofa
Welenchiti
Ejere 2
Mojo
Nazret
Arara 04
Bantu
Bantu Liben
Kusaye
Dupa
Gindo
Tulu Bolo
Melkasa
Wenji
Wonji
Dilela
Ghion
Kora W Shewa
Woliso
Alge Illubabor
Ilimo
Supe
Aseko
Dima 04
Teferibirban
Micheta
Timuga
Gololcha Arsi
Debre Selam Arsi
Mine
Botor Keta
Botor Bocho
Bege
Tiro
Tole Jima
Adis Hiywet
Arboye
Addis Hiwot
Hagere Sisay
Koshim
Acheber Gebeya
Arbu Chulule
Keshet Gebeya
Tole W Shewa
Aba Bor
Abdela Illubabor
Bilo 1
Gefa
Kumbabe
Bolo
Sire Arsi 1
Tibila
Burusa
Beroy
Metu
Barta 04
Meki
Ombole
Chole 1
Hagere Sernay
Ogokho
Goba Fude
Ogolcho
Gebre Dima
Dereba
Jima Arsi
Kula
Gatira
Gesecha
Setema
Wolonkomi
Gonde
Iteya
Dembi
Hunke
Sineso
Sigamo
Dimtu 1
Legehida
Beltu
Gemiro
Kurkura 04
Loko
Miaw
Roka
Adele
Choche
Beshash
Agaro
Dalecho
Jimata
Koche
Kota
Abosa
Adami Tulu
Bulbula
Komil
Ziway
Asela
Dimtu 2
Jimma
Jima
Serbo
Deneba 2
Abelti
Baso
Kumbi 2
Natri
Sekoru
Habe
Sede 2
Hobe
Robi
Sedika
Siba
Dusta
Chira
Chira Jima
Gurachu
Kemise Southern
Bilida
Gembe
Haro Jima
Kenteri
Yebu
Seru
Digelu
Fite
Lolo
Sagure
Sheki Husen
Abdela Bale
Jara
Ketiba
Boneya 1
Asendabo
Binori
Bonya
Dalota
Gibe
Koda
Kombolti
Nada
Omonada
Munesa
Gunguma
Kersa Chilalo
Sembo 1
Bedadi
Emo
Ketaber
Shebe
Hada
Bibo
Girawa 2
Goda
Gurlero
Harakola
Kombolcha 4
Sawena
Gado
Gamoji
Gobesa
Guna Arsi
Degaga 1
Gambo
Arsi Negele
Dole
Negele Arsi
Dedo
Mehusa
Metosa
Gimbite
Bekoji
Farichu
Gedeb 1
Kechema Dima
Meraro
Sirba
Timbite
Bura
Aje
Tireba
Agarfa
Ali
Arotora
Galcha
Magaalo
Adaba
Dodola
Keta Arsi
Kokosa
Tuli
Goba Robe
Boko
Dakera
Goba
Jimala
Kojora
Sura
Burkitu
Bano
Bile
Gibere
Argebila
Guradhamoole
Haro Dibe
Harodibe
Jirati
Webera
Werka
Nensebo
Kale
Mena
Tore
Kele 01
Solemo
Angetu
Bidire
Oberso
Belesa Koricha
Kibre Mengist
Muklemi
Bube 1
Guto
Dega Illubabor
Serdo 2
Nopa
Uka
Gore
Hurumu
Yayu
Becho
Leka
Bido
Gechi
Yanfa
Yembero
Bedele
Chara 04
Elemo
Sachi
Bilo 2
Bilo Boshe
Rob Gebeya 1
Ano
Jere
Seyo Wellega
Kewisa
Bandiro
Getema 1
Bandira
Kwisa
Dire E Wellega
Sire E Wellega
Gute 2
Fechase
Agemsa
Obera
Fulya
Hareto
Dedu
Kewo
Ageyo
Toba
Geruke
Seka Jima 2
Senyo Gebeya
Gent
Ambuye
Arb Gebeya Jima
Babo 2
Chine
Dujima
Kosa
Mecha
Suntu (Genet)
Jemo Lefo
Irensa
Bitile
Hamus Gebeya 4
Rob Geba
Goro W Shewa
Gurura
Lemen
Melka Kunture
Debre Libanos
Debre Tsige
Debra
Mulo
Derba 04
Mulo N Shewa  2
Silo
Wenoda
Aleltu
Chole 2
Gora
Nachiri
Chifara
Deka
Galiy
Alem Tena
Koka
Adulala
Bika 1
Dera
Sodere
Boneya Arsi
Huruta
Ticho
Kelo 3
Hamda Diskis
Bulala
Koshita
Diksis
Siltana
Guna
Bele 1
Bele Arsi
Ropi
Shire
Alem Gena E Shewa
Kore Arsi
Sire Arsi 2
Hunde Lafto
Asbe Teferi
Midega
Meyu
Bube 2
Dero
Furda
Gebibda
Sengo Chulul
Chinaksen
Alem Gena Bale
Bila Bale
Birbirsa 1
Fesesa
Gasera
Guranda Arsi
Karara
Dinshu
Mio
Bele Bale
Goro Bale
Jema
Mana
Meliyu
Selka
Sof Umar
Kercha
Birbirsa Bera
Ansame
Baya
Bila Borena
Molicha
Zembaba Wiha
Wadera
Gidicho
Gerba
Kilenso
Dega Borena
Agere Mariyam
Bicho Borena
Jaba Sire
Mati
Dedertu
Tedim
Bolekedo
Berchuma
Gara
Ashi Beargesa
Chimbo
Deritu
Didiga
Gerdasa
Karka
Keranyo
Kobo Sidamo
Surupa
Tuwaya
Tuyero
Yabelo
Gubiso Gebeya
Bedewera
Finchawa
Seyema
Soda
Aflala
Gafebule
Sogiya
Abadesenke
Adili
Bolale
Anal
Gayu
Sodiga
Metagefersa
Amico
Arero
Dekawata
El-been
Fultura
Hudat
Malkaguba
Marsha
Qalqlja
Wachile
Waltena
Web
Shebel
Bure
Sibo
Bure Gore
Sedi
Birbirsa 2
Benguwa
Bila 2
Deboko
Mekenejo
Keki
Jogir
Hamus Gebeya 5
Tulema 1
Kone
Kolobo
Dega E Wellega
Surge
Haro
Demi
Ucha
Dera Shoa
Kese
Mendida
Roge
Bili
Sembo 2
Sheno
Chefe Donsa
Holota
Dukem
Bucho
Dire N Shewa
Domota
Kurfo
Lege Dadi
Lencha
Mulo N Shewa 1
Sendafa
Chancho
Duber
Gorfo
Lege Tama
Sululta
Alem Gena
Boneya 2
Aba Samuel
Boneya W Shewa
Sebeta
Tefki
Godo Beret
Debre Birhan
Atakilt
Dinbar
Gude Beret
Gura
Koso
Lemi
Akaki Beseka
Kaliti
Harqele
Hara
Mengaga
Agilio
Korbeta
Didhab
Eli Wiha
Weranso
Durgi
Anderacha
Jemu
Soyema 1
Gowa
Tulema 2
Zefne
Kondaltiti
Dugda
Tedele
Tawula
Indibir
Jembero
Wib Hamer
Keber
Medula
Masha
Gimbo
Bonga 2
Deri 1
Kulito
Dechiya
Dara 1
Tocha Sodo
Meri
Soddo
Hagere Selam 02
Chuko
Hana
Koti
Shewa Gimira
Jelo
Melka Jewe
Goche
Soyema 2
Bekawile
Kolme
Gemole
Fasha
Bele 2
Kindo Halato
Tula
Guguma
Wijigra
Hogiso
Yirga Alem
Aleta Wendo
Tebela
Gelcha
Beto
Kaka
Gedeb 2
Dimtu 3
Aqena
Gura Ferda
Temenja Yazhi
Bachuma
Gachit
Welde Hane
Bita Genet
Kebechi
Gecha 2
Gemesha
Arkit
Arguba
Gato
Belta 1
Mugayo
Alge Borena
Awara 1
Baltije
Bul
Geda
Hinde Borena
Negele
Watadagi
Hare Kelo
Bitata
Harokelo
Dawa
Dukafale
Alona
Megado
Cheketa
Dawa
Reji
Shakiso
Yirba Moda
Irba Moda
Bore
Jangir
Dire
Dale E Wellega
Doro Wayu
Hinde E Wellega
Ayana
Kiremu
Kokofe
Boka
Yara
Guliso
Dubub
Welwel
Agere Weyin
Badhi
Ferfer
Burkale
Melda
Jima Sidamo
Bekolmag
Bur
Tirgol
Akobo
Wangding
Wanke
Itang
Penkow
Ciam
Pegncoa
Tor
Udia
Punydo
Dipa
Gog
Asosa
Asayita
Afambo
Jenya
Abot
Barna
Bere
Butajira Gamo Gofa
Dara 04
Kela 04
Keliba
Milem
Tedesa
Teltele
Tiltek
Zedok
El Gof
El Leh
Jaamuuq
Karaye
Leey
Moyale
Sodo
Ado
Dubuluk
El Melbana
Elgay
Fule
Goba Sidamo
Godebero
Kayew
Mega
El Eyader
Hidilola
Toom
Kulu
Fejel
Deday
Birdelo
Dadai
Eli Dar
Endahura
Hayu
Manda
Melka Jebdu
Ejersagore
Dire Dawa
Feres May
Gerhu Sernay
Inticho
Betemara
Adi Lanka
Waja
Debre Abay
Indabaguna
Maydimu
Togober
Inda Silase Hulet Awlalo
Wikro
Hagere Selam 01
Mekele
Adi Gudom
Aynalem
Kwiha
May Keyah
Mezba
Gunda Gunde
Adigrat
Debre Damo
Fadi
Hawzen
Debub
Hintalo
Hiwane
Makmatiwit
Tsige Reda
Agula-e
Negash
Wukro
Abiye Adi
Guia
Kechemo 01
Mahberedaguea
Adi Dairo
Adi Mendi
Aksum
Debre Kerbe
Selekleka
Simema
Rama
Debre Genet 01
Alamata
Korem
